video_id,category_id,views,likes,dislikes,comment_count
3K0wXkf0QAY,28,6149,109,3,18
3LJh6TReA5w,24,28448,611,11,62
3LNeBf7bOTU,15,930576,25617,360,1316
3McYSX6jSIg,22,99732,1017,1536,788
3Mg0SCxwvMo,19,122396,4377,163,625
3Q2j5ApzSqs,10,10309592,431060,11583,23776
3S6HQGHqQa0,23,527651,21612,1663,6757
3SqtO2VXsPI,24,430591,6045,240,434
3ToRIUoXmIw,24,667346,35253,558,1796
3TwiPa39WnM,1,294003,7548,49,129
3VLNxH9uX6Y,24,299038,4952,134,295
3V_rqb6Nuc4,23,500664,12506,531,1137
3WlhLmh7uiQ,15,756331,30835,691,7429
3Zew8pLSlwQ,17,443354,4052,332,375
3b24Q8Bz7b4,22,1380632,29464,479,5728
3baKe4B3eyI,25,345269,2707,65,374
3bzlb22qTvE,26,451464,14193,376,1468
3eQP6JoxtKk,1,7862567,146603,13924,32632
3eY394uqk9Q,23,931202,42631,1762,4010
3ekEfYNQJ1s,24,66068,404,47,81
3frnBoqqI_Q,28,1424952,39847,1530,4261
3g246c6Bv58,27,713748,32489,429,2401
3g5O-kT9m8k,28,1649128,63594,1771,4819
3gTyF-wLa-E,24,264956,10200,142,820
3gx7O2H_Kmg,15,66367,3370,39,240
3hn14sIQc6E,25,400997,1503,395,1063
3iUfzN4RAB8,23,3713832,49006,7354,9149
3j4ay18xokg,25,626833,5059,4137,0
3jcolXvi8IA,22,27207,786,42,131
3kerBt7kuBU,26,98780,7932,325,3128
3lgcBZdMZxM,24,622855,14227,2312,4051
3mB2fIt7vzw,20,8493,309,17,203
3mRjN1Focog,22,130546,4736,64,553
3nwwX-DEH1M,19,2019746,16023,2287,4852
3oHhw_9bQk0,1,12507,227,5,26
3oHhw_9bQk0,15,8325,185,4,24
3pCCjHDPq6U,27,446482,13124,400,3029
3pTpz76vZfc,10,122710,5977,258,594
3rApMBPh15M,23,708372,58841,1459,5509
3rIjcRK_BNU,20,954743,18884,273,1103
3rhw4KgcvFM,24,1426,14,0,0
3shrder58iU,22,2414681,43340,3055,3969
3tUCuMSPQwE,23,7214750,122778,2300,7047
3tUSDKhcxcc,26,26225,728,28,121
3tjHS7JRB4c,23,2066897,31111,910,6296
3y75zBl37f8,26,1170696,34500,5272,5999
3yy-dKTmyOo,10,7628116,85230,2612,13141
4-flcAEK0QI,10,330553,2261,124,119
40JxGkIspck,24,60568,2013,19,309
40zKzYxwaF0,22,223433,12960,298,1186
41QT769qVY0,25,47402,312,64,358
41d9Bd7m8js,23,1584221,15815,704,861
425M4M3Opkk,1,7714606,147739,5874,18531
42FRgdjveGU,24,2029938,33784,1958,2203
42ZE4DCJkEo,24,1908298,55993,1349,8864
43hsIO_Jxtg,24,945936,14025,154,991
45dj8U3xSFU,24,1147297,14471,367,2649
45tSUnisIos,15,174504,11738,78,1093
46KwY26PeOs,23,1346784,48342,1208,2936
46TOhKEwtsE,24,575476,15218,426,1206
48-pr5-G6Pw,10,298642,10167,244,562
48GpQJX3kYY,17,202920,3024,81,527
48SbgzxKW-E,25,769347,24823,4977,5034
48cc5nvsZ_c,1,276125,5293,177,683
49wGna0UTB8,24,912215,29530,5810,2480
4AtOU0dDXv8,25,2036792,29446,14379,38936
4B7vs7tPRpQ,26,92301,6796,42,492
4BiWtH0HywY,22,393366,1625,434,313
4CGBSGEkbKA,24,1144298,6809,2086,2350
4DQUrg0Yhu4,28,704426,23570,971,3960
4E0Fhct08QM,22,457181,15082,475,1002
4EIvK9XsFRo,26,94234,4721,201,460
4Ek6UCI0YQs,27,2452,2,0,0
4FEcHK-c2VE,22,2228287,54340,1272,3712
4FkEYUPr2gg,23,448077,25703,905,3843
4FkzLs7cLes,28,51981,2460,34,383
4GUxd-4TUTs,25,247049,2874,3174,7031
4GZBn4_SfQQ,28,514107,1953,17,96
4HSul1NBFes,27,3831,0,0,0
4HU6Z7anycw,1,6106813,292251,5483,17562
4HX6R88QZB0,22,1255581,34039,5504,6320
4IG0freUoog,24,185260,4958,236,381
4JGWxG-vE24,24,1099860,37836,2435,11477
4KyWP5fWOEs,24,492953,20083,198,2646
4L43VVORo5c,28,141287,6629,182,713
4LlQwTgB5Rc,10,387338,5411,191,441
4MYaA4WEo1Y,25,98683,187,615,332
4Mayo-iUQDk,17,885363,412,52,103
4NOIj0Munk0,25,8411,71,69,158
4Qs8herYTqY,26,628330,36308,308,3001
4RYZEOZqWGk,24,82052,1519,68,182
4ShwEAGIu-I,17,753119,5799,482,1297
4Syrtc5aRBY,27,231632,5471,232,1035
4Uhe7pNqCFo,24,2297105,73435,1314,3728
4VDylTCCzOY,24,325214,2365,404,471
4ZO-jde2smo,24,928027,31374,386,1828
4_aR3HqFrr0,24,758220,5524,422,742
4_eVvzrTV-I,17,253623,3297,88,502
4a1TUszkMfI,17,210400,6762,152,1081
4ay4S61byZo,10,1057485,131711,516,11897
4b_tL3mh-Gw,22,220164,13681,207,2397
4cXsgT3ZcL8,26,2568313,135207,3650,17920
4ccN0eRaO7Y,24,736193,5957,421,726
4csQhMHvQWk,24,1547819,27811,682,1358
4dpjhcQr0RM,10,1629053,72349,2376,2694
4eKYR_iL5eU,24,542462,10224,220,485
4gIR_q89g9Q,17,301593,1214,148,192
4hrrK3rXrR0,24,395698,11179,139,640
4ihuh6AKyY8,27,91213,3089,980,1025
4iyOED0DPZw,25,40026,127,137,319
4k9bXpi1tU4,23,2668355,151443,2205,12140
4kDklB6-69Q,23,29178096,825258,15353,60709
4lm75v4Ndlg,24,1367332,49615,618,3710
4nM94zdOh50,24,746658,6802,529,752
4nq0tT_SAD0,10,3564336,188129,1728,15545
4nqJiBRNQuw,24,3183826,73056,2988,5593
4oYYVrEFWE8,10,1702293,32630,2071,4493
4oqvNR1o3Zo,24,1952034,29809,4625,4192
4qSziR6sD8Q,28,24311,176,2,42
4qcLz8M7L7k,17,893170,5727,461,2443
4srOE3pCCo8,17,1501322,16023,3972,2922
4tKdWdBf0M0,28,79667,670,28,51
4tpIiSqyiLo,24,713285,16139,887,3648
4uTNVumfm84,10,18312570,450885,10280,19437
4ubwGb-vLA0,1,3020358,66758,2054,7572
4uvDgYKLgcU,20,147003,3164,375,1494
4vl8-5udtII,28,308082,18139,168,2489
4yG_k2Zlw7Y,1,199547,13027,63,888
4ykXguKWqy4,22,687759,19428,1527,1317
4zkWYYFvV6M,22,188322,4773,173,720
51cbHTKdILA,10,286155,24031,343,2004
52L2HML5O1k,24,319017,4994,357,1019
52Y7NwbmOHY,24,72999,3859,109,737
532MxrRNJcM,26,883575,49985,714,1316
54BVvP7zvDQ,24,2096929,35493,1594,2260
54z8jWNM0bE,23,2635367,41221,593,1349
56XbwQ59GbA,15,688114,17572,439,3181
57nZ7LaVAH0,22,3457520,227602,3580,17752
5AGyFelwyk4,17,706629,13409,584,2700
5BD1Yjc3du8,24,2598,8,1,0
5DsBQiYNwuk,17,750961,40735,1285,2362
5EF5Curjr8k,10,519197,39056,359,1968
5GHXEGz3PJg,10,9534322,156895,3356,5564
5GRyr0noXrw,17,25235767,493804,49040,42732
5IyiD8xv_Pk,15,6447,30,4,4
5JEI0sjJs8c,25,569902,4127,1869,1347
5JYqTSSH6IA,24,2449920,49060,908,1992
5Js4TMKutCo,25,137034,1265,1008,1756
5LoBGoQPUNc,24,6438646,124860,8171,9283
5MJpurZ9ShI,27,341118,8166,329,1042
5NHxDBPxPGI,26,155176,7675,74,2081
5NaAwSpswJE,24,3149536,47108,7962,7277
5PR3Hn6cQ60,26,1066420,37624,1087,2727
5Q7mKQmNWSE,26,139086,232,160,393
5Q7mKQmNWSE,28,151563,240,167,414
5RjEaUqucbw,24,41760,931,18,57
5SNX4JuM39c,17,102105,2384,56,322
5SkwvwSydmk,24,508376,12313,352,567
5SuDuzAtUwA,28,142380,2635,307,299
5TXSR9Jel24,24,52100,449,33,84
5TY79E-a2xU,25,10836,41,17,229
5TbUxGZtwGI,27,2626381,167615,2796,14310
5VGxDEh3F0g,1,121892,4254,138,344
5XUwdZkM6N8,26,215237,11154,334,1077
5YMtjjAzxWA,17,276711,3297,132,196
5YOvZU1QRRQ,24,301706,7495,283,713
5YgluF8VTWg,25,1900142,9383,6490,30783
5_-NKRVn7IQ,28,7676863,180749,8889,23497
5_O5bT3hfkQ,28,869422,11650,368,1255
5bJ_gb19pKQ,1,3259936,87201,2482,9892
5cKQHtO6wyk,17,757991,6431,342,1531
5czA_L_eOp4,27,241476,9401,114,357
5ek2W8hUvGw,1,2500743,86444,1784,6521
5fZiMNo5-uo,20,2686026,51635,2101,15299
5g20u8EfMdg,27,616440,19998,483,5534
5g2UZr5RGgg,15,1309130,20192,1004,3434
5gZWna6RnCA,22,404058,2980,44,165
5hpuoMilm_4,22,1776352,161751,1974,11742
5jmaUAvUou4,26,891152,46423,366,2373
5km8U9K-WLw,25,95379,301,881,1414
5llHhbYjBwY,17,219523,3683,68,415
5m9rqSaQIWg,26,57309,1958,65,207
5mar5AHglGI,24,431137,26604,400,1523
5n32F7mS6Kk,23,367012,26794,303,2109
5orrZxSjLQA,10,4763664,215294,1791,12077
5q4Z7HqxFM0,22,245308,11378,354,938
5qjU_wPyv4E,23,535232,18453,417,1185
5qvAXkzAcKw,25,17106,69,4,94
5qx2WFpNTPs,25,700096,33259,914,2859
5sEaYB4rLFQ,24,11161971,218633,5211,18871
5tCyAEMaE-I,24,32477,1752,53,257
5tPugvYE6wM,26,645449,22571,3973,3138
5x-d3pabd5o,10,3055492,109426,1729,4016
5xrks9k3feQ,27,163727,2740,155,445
5xvOk7fo-K8,22,157975,1950,81,136
5y-tCo_v7pk,10,352319,0,0,1346
5y0ARoVF6Qg,22,282736,2058,56,206
6-Bf9yUay50,23,2085977,20609,4302,3114
6-xB3ij-5xM,19,81011,443,133,116
61hO5yTnAaE,26,537545,34058,365,2845
62GUa_XUosE,1,17968,30,2,1
65MWN5yKU0A,26,106781,3125,187,206
67LnlgA_Too,24,235830,9376,581,501
682vsLy3TtE,25,3902,21,6,20
6A3cHzFQsqI,10,127623,694,7,104
6DuLfoU3apA,17,13531,148,7,17
6EF4zRMfrlk,15,173330,3792,422,699
6EHbZKLkeMg,24,198076,1286,272,637
6EmFN1nRQ6M,24,1429113,34531,1045,5215
6HOO1d3ltA8,25,467531,4028,20385,4612
6J-D86wfxiE,24,286804,10325,322,1209
6J-D86wfxiE,25,5488,702,49,137
6Km34EXxGZ4,24,2204925,119459,4017,26986
6Nr_xHolP1Q,23,1642644,52190,2122,3749
6OcOO1k-vGE,10,18241671,396450,16969,23622
6PXz2gNNR9o,10,40775,257,2,33
6Q0AazVu1Tc,24,7957820,110407,4211,0
6Rl7fQQRmtg,24,3140961,115164,11542,17129
6S9c5nnDd_s,1,12834122,338251,6702,19495
6SuMbFuKDf8,10,14717193,396826,16015,39035
6UPeSHu1u_w,22,68699,1943,42,146
6VJYkH1WfKc,17,390622,3322,367,755
6XxA-4Jp7AU,25,271281,6531,739,939
6Y65fxIRs8Q,20,2894540,36922,2753,4251
6ZkZ7pSD2mw,24,3046,6,3,2
6ZwXRnueOMg,15,56819,3051,32,271
6_-b3U9QDKg,17,4478472,83646,2674,6091
